,ndvi,ci,psri,gndvi,s2_rep,ireci,s2_b,s2_g,s2_r,s2_nir,hv,vv,seg,class_name
0,6889,14757,264,6000,722,4699,450,691,509,2764,661,1547,1507,3
1,7164,15936,288,6264,722,5711,438,709,510,3087,495,2216,1489,3
2,7110,16574,349,6131,722,5155,390,666,469,2777,662,1883,1489,3
3,6777,14689,662,6135,725,4795,430,722,579,3015,645,2102,1489,3
4,7043,15463,361,6077,722,5097,414,699,497,2865,600,3240,1489,3
5,7302,17710,254,6478,722,5684,396,625,456,2925,656,2433,1489,3
6,6845,16023,432,6063,721,4756,403,653,499,2665,638,4227,1421,3
7,6038,12979,882,5865,725,2599,329,480,455,1842,1032,2060,1024,1
8,6112,13312,647,5787,721,2882,358,511,462,1915,427,1759,1114,1
9,7182,16214,465,6062,730,4135,315,583,390,2378,439,1552,1141,1
10,6466,14651,437,6100,720,2447,304,412,365,1701,880,4071,1024,1
11,6124,11269,623,5673,717,2227,320,472,411,1710,662,2535,1024,1
12,6168,13184,495,5684,722,2696,366,511,440,1857,881,2581,1116,1
13,6151,12039,841,5858,718,2305,266,422,385,1616,615,2545,1042,1
14,5613,12378,1016,5462,721,2158,311,469,449,1598,777,4271,1024,1
15,6784,13911,502,6278,716,2934,260,407,341,1780,460,1565,1024,1
16,6713,14412,608,6004,721,4394,387,660,520,2644,657,2327,1426,3
17,5985,10951,863,5854,726,2470,362,507,487,1939,736,3356,1137,1
18,5219,10201,933,5200,723,2036,415,552,549,1748,691,2613,1024,1
19,6456,13100,760,6300,716,2463,240,370,351,1630,996,3143,1024,1
20,6866,15504,372,6186,722,4675,415,629,496,2670,536,1805,1426,3
21,6419,12985,898,6009,730,3489,368,591,517,2371,641,3688,1139,1
22,6906,17472,458,6289,722,5055,395,620,498,2722,602,1936,1425,3
23,7342,17816,489,6561,724,5732,338,607,448,2924,459,1913,1425,3
24,6261,11542,659,5797,723,2341,306,456,394,1714,1026,4826,1024,1
25,6664,15427,480,6097,721,4235,407,614,507,2533,749,2637,1426,3
26,6426,11856,620,6018,724,2727,324,473,414,1903,664,1824,1024,1
27,6795,14465,397,6260,726,3271,325,463,384,2013,1855,5633,1041,1
28,6830,13970,352,6180,723,4351,424,623,497,2639,668,2048,1426,3
29,5772,13431,864,5124,726,2433,359,576,479,1787,763,3285,1024,1
30,6680,14687,459,6025,720,2932,299,461,370,1859,212,1193,1024,1
31,6084,12804,694,5628,724,2853,381,563,490,2013,827,2200,1090,1
32,6609,16549,697,6513,724,3443,301,426,412,2018,799,2839,1123,1
33,6395,13575,663,5930,723,3183,338,517,445,2024,204,1769,1068,1
34,6280,14575,703,5833,722,2840,315,485,421,1843,551,1495,1024,1
35,6500,15473,727,5989,725,2941,295,473,400,1886,660,2988,1024,1
36,6698,15449,636,6245,724,2878,272,422,361,1826,546,2398,1024,1
37,6239,13589,319,5878,714,2485,330,426,380,1641,570,2363,1024,1
38,6538,15534,722,6087,717,2394,217,366,315,1505,778,3988,1024,1
39,6345,13956,681,5751,723,2937,315,503,417,1865,856,2456,1024,1
40,6425,17139,590,6167,728,3756,383,523,480,2206,384,1567,1136,1
41,7106,18581,592,6652,729,4248,284,448,377,2229,570,2882,1024,1
42,6796,15062,485,6361,718,2852,253,379,325,1704,933,2807,1024,1
43,6349,13555,690,5882,724,3044,343,526,453,2029,587,2806,1024,1
44,6670,13384,549,6008,726,3390,354,553,443,2218,454,1397,1099,1
45,6818,18108,483,6166,722,3463,283,450,359,1898,513,2452,1068,1
46,6448,12250,756,5857,724,2886,315,519,429,1987,1129,2774,1024,1
47,5782,13345,648,5459,720,2620,383,533,485,1815,984,3204,1024,1
48,7027,17738,393,6420,725,3604,283,427,342,1959,752,2320,964,1
49,5575,12832,750,5288,724,2588,445,613,565,1989,478,2062,1139,1
50,6796,15757,603,6338,721,2994,264,417,355,1861,434,2485,1054,1
51,6650,14133,500,6122,725,3217,336,495,414,2058,573,3296,1099,1
52,6084,14573,434,5678,721,2663,352,471,416,1709,830,2841,1024,1
53,6305,13663,611,5758,717,2779,297,468,394,1739,665,2739,1024,1
54,6486,16609,679,6000,724,2814,272,427,364,1708,814,1783,1065,1
55,6827,15347,299,5860,732,4099,390,605,437,2318,317,1564,1065,1
56,5779,10823,869,5401,721,2313,346,529,474,1772,519,2204,1024,1
57,5951,13146,740,5824,724,2426,348,470,452,1781,426,2561,1011,1
58,6729,16577,523,6407,726,3544,320,448,400,2046,825,2906,1133,1
59,7402,20521,344,6753,729,4596,296,457,352,2358,628,2722,1083,1
60,6662,15697,592,6155,725,3606,332,511,430,2147,522,1748,1088,1
61,7507,20526,354,6766,722,5423,281,478,353,2479,550,2391,1155,1
62,6318,12885,727,6029,718,2376,266,404,368,1631,962,2818,1024,1
63,6570,13515,567,6172,717,2250,240,359,314,1517,865,1961,1024,1
64,6731,15357,429,6090,720,2970,295,449,361,1848,490,1559,1024,1
65,7158,19308,383,6489,721,3912,272,432,336,2029,798,2333,1083,1
66,6980,15771,574,6178,731,3681,310,526,396,2227,684,3090,1024,1
67,5955,13174,811,5619,718,2494,310,479,433,1708,628,4142,1024,1
68,6773,16630,430,6488,721,3240,296,403,364,1892,350,1383,1068,1
69,6408,13941,751,6297,719,3042,299,440,424,1937,645,1474,1135,1
70,6602,15859,795,6226,721,3106,252,424,373,1823,483,1698,1003,1
71,6620,14955,731,6180,724,3231,301,483,416,2046,494,2079,1024,1
72,7036,16633,379,6606,716,3256,236,350,298,1713,463,1914,1046,1
73,6610,13895,713,6003,727,3168,317,519,424,2078,554,3156,1083,1
74,6090,12903,822,5573,725,2777,344,544,465,1914,701,5630,1024,1
75,6841,17910,476,6286,725,3878,325,490,403,2149,280,1594,1047,1
76,6736,18376,589,6573,721,3412,270,386,364,1867,856,3211,973,1
77,6266,15291,847,6094,722,2855,307,462,437,1904,513,1368,1068,1
78,6312,15469,560,5953,728,3431,381,525,468,2070,529,1368,1068,1
79,6836,16457,609,6254,723,3334,266,439,358,1905,338,1661,1047,1
80,6412,14430,812,6239,720,2857,266,411,388,1775,792,2201,1024,1
81,5546,12904,715,5369,726,2706,465,608,578,2018,748,2707,1108,1
82,6569,15396,560,6121,726,3152,324,473,407,1966,1049,2291,1108,1
83,6377,13282,545,5821,723,3113,370,548,459,2075,542,2661,1047,1
84,6563,13983,636,6283,720,2729,268,396,360,1735,1141,4394,1024,1
85,6534,15403,622,5755,721,3180,303,518,403,1923,419,1441,999,1
86,6480,15089,660,6045,718,2990,283,450,390,1826,1182,4116,1024,1
87,6519,15382,679,6230,723,2754,276,409,371,1761,450,1470,1022,1
88,7065,17606,384,6497,727,4044,317,468,379,2204,484,2646,1047,1
89,6330,15353,641,6070,723,3064,321,456,419,1865,777,2301,1047,1
90,6094,12779,548,5645,727,2569,385,530,462,1904,435,1240,999,1
91,6628,16349,480,6333,721,2960,293,404,365,1800,573,4803,1024,1
92,6842,16519,193,6382,713,2586,252,331,281,1499,314,2531,1089,1
93,6540,16042,491,6147,716,2402,264,381,334,1597,974,3023,1047,1
94,6582,15262,444,6281,716,2877,288,399,360,1747,368,1723,1107,1
95,6785,16329,498,6185,725,3313,288,443,360,1880,677,1839,1024,1
96,7037,17533,643,6590,726,4096,278,455,385,2214,711,2579,1068,1
97,7009,16719,451,6596,718,3197,237,358,307,1746,925,4099,1047,1
98,6934,15701,531,6432,717,3028,250,403,336,1856,659,1977,1113,1
99,6125,11859,907,5834,725,2453,308,474,433,1802,661,2365,1024,1
100,7074,18622,700,6569,722,3692,225,406,336,1961,542,1439,1068,1
101,6657,18818,444,6213,718,3378,280,412,354,1764,616,3135,1138,1
102,6979,18437,303,6357,721,3221,270,393,314,1765,774,2573,1047,1
103,6649,16054,512,6127,728,3614,349,512,429,2132,758,1661,1089,1
104,6926,16211,464,6188,725,3364,279,450,347,1911,457,1894,964,1
105,6832,17583,541,6404,725,3698,303,453,389,2067,368,2710,1024,1
106,6437,13207,624,6190,725,2968,338,469,432,1993,838,2729,1022,1
107,6843,16979,532,6404,720,3545,286,441,377,2012,467,2832,1094,1
108,6190,13285,640,5662,721,2826,350,532,452,1921,818,3702,1047,1
109,7219,19263,558,6546,727,4112,256,442,342,2118,803,3061,1090,1
110,5313,10741,639,5208,720,2122,444,557,541,1768,906,3668,1065,1
111,6535,14211,580,6136,721,2778,287,424,371,1771,677,2065,1022,1
112,6769,15649,615,6170,724,3358,293,477,388,2014,448,2260,1022,1
113,6020,12456,859,5779,719,2724,348,531,493,1985,1123,2191,1161,1
114,5063,10806,1243,5120,718,1861,345,516,524,1599,607,2674,1105,1
115,5456,11443,1032,5484,725,2679,454,624,629,2140,493,1475,1229,1
116,5337,12002,1105,5359,723,2691,454,645,649,2135,511,4236,1172,1
117,5691,11275,805,5285,726,2608,433,628,559,2036,885,2259,1161,1
118,7199,15334,421,6539,727,4617,352,555,432,2653,861,2808,1224,1
119,5610,9979,879,5713,714,2159,361,488,503,1789,620,1722,1161,1
120,6488,15194,876,6153,726,4039,361,587,525,2465,828,1747,1161,1
121,6185,12285,501,5612,723,3259,464,663,556,2359,857,3271,1279,1
122,6259,13755,631,5895,723,3171,383,550,490,2130,1131,3951,1238,1
123,6935,15654,487,6401,724,3867,321,491,405,2238,1434,3301,1161,1
124,6677,15941,632,6306,722,3569,315,482,424,2128,792,3691,1161,1
125,6597,16100,695,6299,723,3781,339,516,466,2273,695,2950,1241,1
126,5118,11596,962,5022,724,2452,488,665,648,2007,636,1325,1161,1
127,5760,11931,944,5665,721,2735,396,575,559,2078,480,3508,1279,1
128,6493,16739,759,6343,722,3546,310,462,439,2065,927,3164,1241,1
129,6585,15923,585,6132,726,3789,374,553,475,2307,379,1133,1214,1
130,5888,12276,860,5555,726,2760,394,584,529,2044,518,1946,1161,1
131,5841,13689,844,5724,719,2829,385,553,534,2034,957,2024,1214,1
132,6224,14443,686,5763,727,3621,444,656,568,2441,565,3047,1238,1
133,6790,16903,689,6388,723,4026,306,498,432,2260,631,3085,1240,1
134,6075,15363,604,5809,720,2943,376,518,477,1954,534,2233,1161,1
135,6107,13795,775,5868,725,3186,398,570,529,2189,852,3206,1214,1
136,6428,14335,506,6016,722,3742,411,580,507,2332,391,1768,1214,1
137,5614,12701,692,5561,716,2253,348,460,453,1613,826,2857,1161,1
138,6276,15057,702,5722,722,3041,332,528,444,1941,715,2857,1130,1
139,5974,15234,898,5922,723,2911,352,504,496,1968,549,1674,1241,1
140,6041,15035,414,5735,719,3012,407,526,479,1941,1042,1814,1161,1
141,6275,12885,645,5944,720,3143,362,529,476,2080,865,2386,1225,1
142,5741,12791,987,5664,727,2767,407,577,564,2085,806,2706,1214,1
143,6686,11598,539,5867,731,3852,427,686,523,2634,604,2227,1238,1
144,6713,14385,602,6251,725,3478,334,509,434,2207,693,2447,1161,1
145,6269,14470,781,5978,723,3473,372,562,512,2233,779,1984,1161,1
146,6401,15743,671,6196,720,3504,347,503,470,2142,805,2095,1161,1
